586		1.	12:02	26496		1.	16:09	26738	
552		1.	17:34	26738		2.	21:52	27450		3.	13:06	27450		4.	19:17	27998	
527		5.	10:03	27998		7.	15:49	28759	
509		7.	16:32	28759		8.	19:45	29301	
545		9.	16:23	29301		11.	21:43	30290	
594		12.	07:41	30290		12.	19:44	30556	
524		13.	10:28	30556		13.	22:50	30759	
578		14.	16:18	30759		14.	18:13	31048	
543		15.	09:53	31048		17.	11:16	31666	
597		18.	09:58	31666		19.	18:28	31972	
514		20.	08:20	31972		20.	19:45	32085	
583		21.	12:39	32085		21.	16:40	32164	
514		22.	11:11	32164		23.	19:45	32557	
596		24.	10:00	32557		26.	18:26	33241	
