574		2.	12:15	8731		2.	19:32	8912	
531		5.	09:36	8912		7.	12:23	9824	
524		7.	13:15	9824		8.	18:05	10326	
565		9.	13:34	10326		9.	17:03	10608	
599		9.	18:21	10608		10.	20:28	11180	
512		11.	16:58	11180		11.	21:56	11361	
546		12.	07:29	11361		13.	12:47	12034	
510		13.	14:37	12034		14.	19:24	12967	
571		17.	11:48	12967		18.	16:05	13127	
501		20.	11:07	13127		20.	13:22	13298	
598		21.	10:40	13298		21.	12:22	13350	
565		23.	12:15	13350		23.	21:35	13670	
569		24.	13:56	13670		24.	20:32	13778	
509		26.	16:13	13778		26.	18:50	13832	
537		27.	14:28	13832		28.	18:12	13963	
584		29.	07:35	13963	
